number,symbol,name,category,atomic_mass
1,H,Hydrogen,nonmetal,1.008
2,He,Helium,noble,4.0026
3,Li,Lithium,alkali,6.94
4,Be,Beryllium,alkaline,9.0122
5,B,Boron,metalloid,10.81
6,C,Carbon,nonmetal,12.011
7,N,Nitrogen,nonmetal,14.007
8,O,Oxygen,nonmetal,15.999
9,F,Fluorine,halogen,18.998
10,Ne,Neon,noble,20.18
11,Na,Sodium,alkali,22.99
12,Mg,Magnesium,alkaline,24.305
13,Al,Aluminium,post,26.982
14,Si,Silicon,metalloid,28.085
15,P,Phosphorus,nonmetal,30.974
16,S,Sulfur,nonmetal,32.06
17,Cl,Chlorine,halogen,35.45
18,Ar,Argon,noble,39.948
19,K,Potassium,alkali,39.098
20,Ca,Calcium,alkaline,40.078
21,Sc,Scandium,transition,44.956
22,Ti,Titanium,transition,47.867
23,V,Vanadium,transition,50.942
24,Cr,Chromium,transition,51.996
25,Mn,Manganese,transition,54.938
26,Fe,Iron,transition,55.845
27,Co,Cobalt,transition,58.933
28,Ni,Nickel,transition,58.693
29,Cu,Copper,transition,63.546
30,Zn,Zinc,transition,65.38
31,Ga,Gallium,post,69.723
32,Ge,Germanium,metalloid,72.63
33,As,Arsenic,metalloid,74.922
34,Se,Selenium,nonmetal,78.971
35,Br,Bromine,halogen,79.904
36,Kr,Krypton,noble,83.798
37,Rb,Rubidium,alkali,85.468
38,Sr,Strontium,alkaline,87.62
39,Y,Yttrium,transition,88.906
40,Zr,Zirconium,transition,91.224
41,Nb,Niobium,transition,92.906
42,Mo,Molybdenum,transition,95.95
43,Tc,Technetium,transition,98
44,Ru,Ruthenium,transition,101.07
45,Rh,Rhodium,transition,102.91
46,Pd,Palladium,transition,106.42
47,Ag,Silver,transition,107.87
48,Cd,Cadmium,transition,112.41
49,In,Indium,post,114.82
50,Sn,Tin,post,118.71
51,Sb,Antimony,metalloid,121.76
52,Te,Tellurium,metalloid,127.6
53,I,Iodine,halogen,126.9
54,Xe,Xenon,noble,131.29
55,Cs,Cesium,alkali,132.91
56,Ba,Barium,alkaline,137.33
57,La,Lanthanum,lanthanide,138.91
58,Ce,Cerium,lanthanide,140.12
59,Pr,Praseodymium,lanthanide,140.91
60,Nd,Neodymium,lanthanide,144.24
61,Pm,Promethium,lanthanide,145
62,Sm,Samarium,lanthanide,150.36
63,Eu,Europium,lanthanide,151.96
64,Gd,Gadolinium,lanthanide,157.25
65,Tb,Terbium,lanthanide,158.93
66,Dy,Dysprosium,lanthanide,162.5
67,Ho,Holmium,lanthanide,164.93
68,Er,Erbium,lanthanide,167.26
69,Tm,Thulium,lanthanide,168.93
70,Yb,Ytterbium,lanthanide,173.05
71,Lu,Lutetium,lanthanide,174.97
72,Hf,Hafnium,transition,178.49
73,Ta,Tantalum,transition,180.95
74,W,Tungsten,transition,183.84
75,Re,Rhenium,transition,186.21
76,Os,Osmium,transition,190.23
77,Ir,Iridium,transition,192.22
78,Pt,Platinum,transition,195.08
79,Au,Gold,transition,196.97
80,Hg,Mercury,transition,200.59
81,Tl,Thallium,post,204.38
82,Pb,Lead,post,207.2
83,Bi,Bismuth,post,208.98
84,Po,Polonium,metalloid,209
85,At,Astatine,halogen,210
86,Rn,Radon,noble,222
87,Fr,Francium,alkali,223
88,Ra,Radium,alkaline,226
89,Ac,Actinium,actinide,227
90,Th,Thorium,actinide,232.04
91,Pa,Protactinium,actinide,231.04
92,U,Uranium,actinide,238.03
93,Np,Neptunium,actinide,237
94,Pu,Plutonium,actinide,244
95,Am,Americium,actinide,243
96,Cm,Curium,actinide,247
97,Bk,Berkelium,actinide,247
98,Cf,Californium,actinide,251
99,Es,Einsteinium,actinide,252
100,Fm,Fermium,actinide,257
101,Md,Mendelevium,actinide,258
102,No,Nobelium,actinide,259
103,Lr,Lawrencium,actinide,266
104,Rf,Rutherfordium,transition,267
105,Db,Dubnium,transition,268
106,Sg,Seaborgium,transition,269
107,Bh,Bohrium,transition,270
108,Hs,Hassium,transition,277
109,Mt,Meitnerium,transition,278
110,Ds,Darmstadtium,transition,281
111,Rg,Roentgenium,transition,282
112,Cn,Copernicium,transition,285
113,Nh,Nihonium,post,286
114,Fl,Flerovium,post,289
115,Mc,Moscovium,post,290
116,Lv,Livermorium,post,293
117,Ts,Tennessine,halogen,294
118,Og,Oganesson,noble,294
